iter	Passed	Remaining
0	11	11107
1	20	10324
2	30	10087
3	40	9991
4	49	9840
5	58	9613
6	67	9594
7	76	9453
8	84	9301
9	93	9254
10	101	9142
11	109	9041
12	117	8946
13	125	8855
14	133	8768
15	141	8689
16	149	8645
17	157	8576
18	165	8546
19	173	8524
20	182	8487
21	190	8462
22	199	8465
23	208	8467
24	216	8458
25	227	8518
26	237	8545
27	261	9090
28	270	9070
29	278	9009
30	287	8980
31	295	8945
32	304	8910
33	312	8868
34	320	8850
35	328	8807
36	337	8781
37	345	8739
38	354	8724
39	361	8684
40	370	8660
41	379	8644
42	387	8620
43	397	8628
44	405	8611
45	414	8599
46	422	8569
47	430	8545
48	438	8519
49	447	8495
50	455	8476
51	464	8459
52	472	8439
53	480	8419
54	488	8396
55	496	8375
56	504	8349
57	512	8329
58	521	8313
59	529	8296
60	537	8272
61	545	8254
62	553	8231
63	561	8212
64	570	8203
65	578	8187
66	586	8165
67	594	8142
68	601	8119
69	610	8113
70	618	8094
71	625	8067
72	633	8045
73	640	8021
74	648	8003
75	656	7981
76	663	7957
77	671	7935
78	678	7909
79	686	7900
80	694	7879
81	702	7865
82	710	7849
83	718	7833
84	725	7814
85	745	7919
86	753	7902
87	764	7925
88	773	7921
89	783	7921
90	793	7924
91	801	7909
92	808	7889
93	816	7867
94	823	7847
95	830	7824
96	838	7804
97	846	7790
98	854	7777
99	861	7757
100	869	7742
101	877	7728
102	885	7710
103	893	7695
104	900	7674
105	907	7654
106	915	7644
107	924	7631
108	935	7643
109	943	7636
110	952	7625
111	959	7606
112	967	7592
113	974	7577
114	983	7565
115	993	7573
116	1003	7574
117	1011	7560
118	1018	7543
119	1025	7522
120	1033	7506
121	1040	7488
122	1048	7473
123	1055	7455
124	1062	7437
125	1069	7419
126	1077	7404
127	1084	7387
128	1093	7380
129	1101	7374
130	1111	7371
131	1120	7365
132	1128	7358
133	1136	7346
134	1144	7336
135	1153	7328
136	1161	7319
137	1171	7314
138	1179	7306
139	1189	7307
140	1198	7299
141	1207	7293
142	1215	7286
143	1224	7279
144	1233	7274
145	1242	7270
146	1251	7262
147	1260	7254
148	1268	7247
149	1277	7238
150	1286	7236
151	1295	7228
152	1304	7220
153	1312	7209
154	1320	7197
155	1328	7186
156	1336	7175
157	1344	7163
158	1352	7151
159	1359	7139
160	1367	7125
161	1375	7114
162	1383	7102
163	1391	7095
164	1400	7085
165	1408	7075
166	1416	7064
167	1424	7053
168	1432	7045
169	1440	7034
170	1449	7026
171	1458	7019
172	1467	7013
173	1475	7006
174	1484	7000
175	1494	6996
176	1501	6980
177	1509	6971
178	1517	6962
179	1526	6953
180	1535	6947
181	1543	6936
182	1551	6927
183	1559	6916
184	1567	6906
185	1575	6894
186	1583	6884
187	1591	6872
188	1599	6864
189	1607	6853
190	1615	6842
